,8058.T,8031.T,8053.T,8002.T,8001.T,8015.T,8008.T,8016.T,7433.T,9768.T,"('8058.T', '8058.T')","('8031.T', '8031.T')","('8053.T', '8053.T')","('8002.T', '8002.T')","('8001.T', '8001.T')","('8015.T', '8015.T')","('8008.T', '8008.T')","('8016.T', '8016.T')","('7433.T', '7433.T')","('9768.T', '9768.T')","('8058.T', '8058.T').1","('8031.T', '8031.T').1","('8053.T', '8053.T').1","('8002.T', '8002.T').1","('8001.T', '8001.T').1","('8015.T', '8015.T').1","('8008.T', '8008.T').1","('8016.T', '8016.T').1","('7433.T', '7433.T').1","('9768.T', '9768.T').1"
2022-07-08,1143.315673828125,1259.975341796875,1580.478759765625,1021.1798095703124,680.4627685546875,1278.3023681640625,1460.558837890625,209.9327850341797,1992.34814453125,1461.01318359375,,,,,,,,,,,,,,,,,,,,
2022-07-11,1149.201416015625,1282.2894287109375,1601.3758544921875,1039.7310791015625,691.5563354492188,1295.8331298828125,1469.7393798828125,214.1824188232422,2025.022705078125,1515.0924072265625,,,,,,,,,,,,,,,,,,,,
2022-07-12,1132.1326904296875,1262.4053955078125,1575.361328125,1018.1598510742188,678.8524169921875,1268.0758056640625,1476.416259765625,207.38296508789065,1981.1910400390625,1486.308349609375,,,,,,,,,,,,,,,,,,,,
2022-07-13,1129.4840087890625,1252.9052734375,1566.8321533203125,1018.1598510742188,674.379150390625,1269.53662109375,1473.077880859375,207.38296508789065,1974.01904296875,1490.669677734375,,,,,,,,,,,,,,,,,,,,
2022-07-14,1144.7869873046875,1257.98681640625,1570.243896484375,1024.63134765625,675.4527587890625,1269.53662109375,1479.754638671875,207.38296508789065,2001.1146240234373,1488.0528564453125,,,,,,,,,,,,,,,,,,,,
2022-07-15,1140.96142578125,1249.591552734375,1561.287841796875,1025.925537109375,682.9678344726562,1262.2320556640625,1477.2509765625,206.53306579589844,1995.5362548828125,1475.8414306640625,,,,,,,,,,,,,,,,,,,,
2022-07-19,1154.2044677734375,1278.7545166015625,1587.30224609375,1046.202392578125,686.3673706054688,1294.3720703125,1481.4239501953125,211.63262939453125,2021.0379638671875,1477.5859375,,,,,,,,,,,,,,,,,,,,
2022-07-20,1182.75048828125,1307.696533203125,1628.66943359375,1071.656494140625,704.796875,1345.5042724609375,1492.273681640625,215.0323638916016,2068.8544921875,1489.7972412109375,,,,,,,,,,,,,,,,,,,,
2022-07-21,1175.3934326171875,1293.556884765625,1617.58154296875,1060.008056640625,697.2820434570312,1357.191650390625,1509.800537109375,216.73223876953125,2084.793212890625,1499.3919677734375,,,,,,,,,,,,,,,,,,,,
2022-07-22,1161.8558349609375,1282.731201171875,1610.758056640625,1056.125244140625,693.7034301757812,1349.8870849609375,1507.296630859375,214.1824188232422,2084.793212890625,1492.4139404296875,,,,,,,,,,,,,,,,,,,,
