,6758.T,6861.T,8035.T,6702.T,6723.T,6645.T,6503.T,6301.T,6367.T,6594.T,6920.T,6954.T,6971.T,6976.T,4063.T,6981.T,6770.T,6752.T,6753.T,6857.T,"('6758.T', '6758.T')","('6861.T', '6861.T')","('8035.T', '8035.T')","('6702.T', '6702.T')","('6723.T', '6723.T')","('6645.T', '6645.T')","('6503.T', '6503.T')","('6301.T', '6301.T')","('6367.T', '6367.T')","('6594.T', '6594.T')","('6920.T', '6920.T')","('6954.T', '6954.T')","('6971.T', '6971.T')","('6976.T', '6976.T')","('4063.T', '4063.T')","('6981.T', '6981.T')","('6770.T', '6770.T')","('6752.T', '6752.T')","('6753.T', '6753.T')","('6857.T', '6857.T')","('6758.T', '6758.T').1","('6861.T', '6861.T').1","('8035.T', '8035.T').1","('6702.T', '6702.T').1","('6723.T', '6723.T').1","('6645.T', '6645.T').1","('6503.T', '6503.T').1","('6301.T', '6301.T').1","('6367.T', '6367.T').1","('6594.T', '6594.T').1","('6920.T', '6920.T').1","('6954.T', '6954.T').1","('6971.T', '6971.T').1","('6976.T', '6976.T').1","('4063.T', '4063.T').1","('6981.T', '6981.T').1","('6770.T', '6770.T').1","('6752.T', '6752.T').1","('6753.T', '6753.T').1","('6857.T', '6857.T').1"
2023-08-28,2353.383056640625,60422.4609375,19788.69140625,1757.859375,2395.92578125,6453.36328125,1770.471435546875,3622.01611328125,23688.146484375,3629.450439453125,21562.060546875,3917.62890625,1698.814697265625,3724.566650390625,4274.439453125,2541.58984375,1097.55615234375,1555.161865234375,903.2000122070312,4451.50927734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-29,2343.5771484375,59530.28125,19930.341796875,1737.1334228515625,2346.822998046875,6458.0654296875,1782.3251953125,3645.17724609375,24102.97265625,3632.862548828125,21552.353515625,3919.522705078125,1688.6300048828125,3719.954345703125,4266.89794921875,2528.70458984375,1099.380859375,1542.6090087890625,907.5,4418.234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-30,2360.246826171875,59844.01171875,20123.935546875,1741.9534912109375,2350.192626953125,6587.84716796875,1801.2911376953125,3662.993408203125,24002.84375,3707.4404296875,21731.953125,3968.753662109375,1727.981201171875,3755.92724609375,4319.69140625,2565.47509765625,1108.9605712890625,1543.073974609375,919.0,4449.04443359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31,2381.8193359375,59334.20703125,20374.1875,1754.967529296875,2359.33935546875,6618.88232421875,1800.81689453125,3696.84375,24055.294921875,3720.11376953125,22013.49609375,3931.830810546875,1730.9903564453125,3742.091796875,4392.28369140625,2572.389404296875,1110.78515625,1561.670654296875,896.9000244140625,4513.130859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,2458.304443359375,59412.6328125,20241.978515625,1770.3917236328125,2373.300048828125,6606.65673828125,1795.601318359375,3749.40185546875,24389.06640625,3713.289794921875,22134.849609375,3935.617431640625,1739.5550537109375,3731.023193359375,4379.0849609375,2563.275390625,1113.978515625,1602.119140625,924.0,4498.3408203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,2454.382080078125,59030.27734375,20289.197265625,1784.3695068359375,2355.969482421875,6653.6787109375,1820.2569580078125,3800.177734375,24470.123046875,3694.766845703125,21940.68359375,3942.244384765625,1749.045654296875,3838.018798828125,4403.59619140625,2618.2744140625,1118.9962158203125,1616.0667724609375,921.9000244140624,4482.3203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,2447.51806640625,59314.59375,20487.505859375,1797.86572265625,2342.0087890625,6699.76123046875,1823.101806640625,3830.465087890625,24536.876953125,3730.83740234375,21770.7890625,3972.540283203125,1749.7398681640625,3993.9013671875,4503.52734375,2658.188232421875,1128.5758056640625,1607.2330322265625,950.0,4424.39599609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,2488.702392578125,59530.28125,20884.130859375,1816.1817626953125,2350.192626953125,6678.13037109375,1834.4814453125,3805.5224609375,24913.55859375,3772.269287109375,21858.1640625,3944.137939453125,1760.619384765625,4049.243408203125,4491.27197265625,2683.959228515625,1150.9285888671875,1612.3472900390625,940.7999877929688,4557.49755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,2476.935302734375,58726.34765625,20737.759765625,1812.807861328125,2381.965087890625,6595.37109375,1828.3175048828125,3804.631591796875,24484.427734375,3600.691650390625,21460.125,3904.374755859375,1740.4808349609375,3899.818359375,4429.05126953125,2550.389892578125,1115.802978515625,1602.119140625,934.7999877929688,4255.5546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,2426.92626953125,57824.37890625,19944.509765625,1784.3695068359375,2342.9716796875,6494.7431640625,1812.1962890625,3814.430419921875,23979.005859375,3585.581298828125,21387.3125,3857.03759765625,1724.5087890625,3889.67236328125,4353.63037109375,2561.0751953125,1091.169677734375,1563.530517578125,902.7999877929688,4317.1748046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
